date,tournament,team,opponent,location,result,score,opp_score,points,xg,city,country,neutral,age,min,crdY,crdR
2014-03-05,Friendly,Slovakia,Israel,-1,W,3,1,3,NA,Netanya,Israel,FALSE,27.058823529411764,58.23529411764706,1,0
2021-09-08,FIFA World Cup qualification,Wales,Estonia,1,D,0,0,1,NA,Cardiff,Wales,FALSE,25.846153846153847,76.15384615384616,1,0
2021-09-08,FIFA World Cup qualification,Estonia,Wales,-1,D,0,0,1,NA,Cardiff,Wales,FALSE,25.1875,61.875,2,0
2021-09-08,FIFA World Cup qualification,Belarus,Belgium,0,L,0,1,0,NA,Kazan,Russia,TRUE,26.133333333333333,66,4,0
2021-09-08,FIFA World Cup qualification,Belgium,Belarus,0,W,1,0,3,NA,Kazan,Russia,TRUE,26.866666666666667,66,1,0
2021-09-08,FIFA World Cup qualification,Albania,San Marino,1,W,5,0,3,NA,Elbasan,Albania,FALSE,24.6875,61.875,1,0
2021-09-08,FIFA World Cup qualification,San Marino,Albania,-1,L,0,5,0,NA,Elbasan,Albania,FALSE,26.1875,61.875,1,0
2021-09-08,FIFA World Cup qualification,Hungary,Andorra,1,W,2,1,3,NA,Budapest,Hungary,FALSE,26.3125,61.875,3,0
2021-09-08,FIFA World Cup qualification,Andorra,Hungary,-1,L,1,2,0,NA,Budapest,Hungary,FALSE,28.6,66,4,0
2021-09-08,FIFA World Cup qualification,Poland,England,1,D,1,1,1,NA,Warsaw,Poland,FALSE,26.875,61.875,5,0
2021-09-08,FIFA World Cup qualification,England,Poland,-1,D,1,1,1,NA,Warsaw,Poland,FALSE,26.09090909090909,90,2,0
2021-09-08,FIFA World Cup qualification,Iceland,Germany,1,L,0,4,0,NA,Reykjavík,Iceland,FALSE,26.466666666666665,66,2,0
2021-09-08,FIFA World Cup qualification,Germany,Iceland,-1,W,4,0,3,NA,Reykjavík,Iceland,FALSE,25.625,61.875,0,0
2021-09-08,FIFA World Cup qualification,Armenia,Liechtenstein,1,D,1,1,1,NA,Yerevan,Armenia,FALSE,28.071428571428573,70.71428571428572,0,0
2021-09-08,FIFA World Cup qualification,Liechtenstein,Armenia,-1,D,1,1,1,NA,Yerevan,Armenia,FALSE,25.8,66,3,0
2021-09-09,FIFA World Cup qualification,Colombia,Chile,1,W,3,1,3,NA,Barranquilla,Colombia,FALSE,28.4375,61.875,1,0
2021-09-09,FIFA World Cup qualification,Chile,Colombia,-1,L,1,3,0,NA,Barranquilla,Colombia,FALSE,29.0625,61.875,3,0
2021-09-09,FIFA World Cup qualification,Paraguay,Venezuela,1,W,2,1,3,NA,Asunción,Paraguay,FALSE,28.3125,61.875,2,0
2021-09-09,FIFA World Cup qualification,Venezuela,Paraguay,-1,L,1,2,0,NA,Asunción,Paraguay,FALSE,26.375,61.875,1,0
2021-09-09,FIFA World Cup qualification,Uruguay,Ecuador,1,W,1,0,3,NA,Montevideo,Uruguay,FALSE,25,66,2,0
